ticker,stock,datetime,open,high,close,low,volume
002717.SZ,岭南股份,2025-01-03 00:00:00,3.4000,3.4000,3.0800,3.0600,324485587
002717.SZ,岭南股份,2025-01-06 00:00:00,3.0200,3.1600,2.9400,2.9100,276290163
002717.SZ,岭南股份,2025-01-07 00:00:00,2.9400,3.2300,3.2300,2.9300,458301017
002717.SZ,岭南股份,2025-01-08 00:00:00,3.2000,3.5500,3.5500,3.2000,514111155
002717.SZ,岭南股份,2025-01-09 00:00:00,3.4300,3.5900,3.4300,3.3500,409703084
002717.SZ,岭南股份,2025-01-10 00:00:00,3.4300,3.6000,3.3400,3.3100,381220796
002717.SZ,岭南股份,2025-01-13 00:00:00,3.1800,3.2600,3.1800,3.0500,251875419
002717.SZ,岭南股份,2025-01-14 00:00:00,3.2400,3.5000,3.5000,3.2200,316180998
002717.SZ,岭南股份,2025-01-15 00:00:00,3.5500,3.7600,3.6200,3.5100,481313521
002717.SZ,岭南股份,2025-01-16 00:00:00,3.5800,3.8000,3.6100,3.4800,409081698
002717.SZ,岭南股份,2025-01-17 00:00:00,3.5300,3.5800,3.4400,3.4300,246160115
002717.SZ,岭南股份,2025-01-20 00:00:00,3.5200,3.5600,3.4300,3.3700,198100820
002717.SZ,岭南股份,2025-01-21 00:00:00,3.3900,3.4400,3.3200,3.2300,206201078
002717.SZ,岭南股份,2025-01-22 00:00:00,3.3000,3.5400,3.4500,3.1800,286127543
002717.SZ,岭南股份,2025-01-23 00:00:00,3.3700,3.4600,3.2300,3.2000,239370549
002717.SZ,岭南股份,2025-01-24 00:00:00,3.1500,3.2900,3.1600,3.0600,191165989
002717.SZ,岭南股份,2025-01-27 00:00:00,3.1800,3.2100,3.0000,3.0000,137790245
002717.SZ,岭南股份,2025-02-05 00:00:00,3.0400,3.2100,3.1800,3.0300,198589478
002717.SZ,岭南股份,2025-02-06 00:00:00,3.1800,3.4000,3.3200,3.0800,270431784
002717.SZ,岭南股份,2025-02-07 00:00:00,3.2700,3.4000,3.2900,3.2000,287872606
002717.SZ,岭南股份,2025-02-10 00:00:00,3.3400,3.5200,3.4800,3.3400,342535264
002717.SZ,岭南股份,2025-02-11 00:00:00,3.4900,3.5100,3.3900,3.3700,235030597
002717.SZ,岭南股份,2025-02-12 00:00:00,3.3400,3.6000,3.5000,3.3100,307706776
002717.SZ,岭南股份,2025-02-13 00:00:00,3.4700,3.8500,3.8500,3.4400,408364016
002717.SZ,岭南股份,2025-02-14 00:00:00,4.0000,4.1500,3.8500,3.8400,595775195
002717.SZ,岭南股份,2025-02-17 00:00:00,4.2300,4.2400,4.2400,4.0000,289497435
002717.SZ,岭南股份,2025-02-18 00:00:00,4.4000,4.5600,4.3500,4.0300,722865106
002717.SZ,岭南股份,2025-02-19 00:00:00,4.1200,4.3400,4.1800,3.9500,421568140
002717.SZ,岭南股份,2025-02-20 00:00:00,4.1100,4.1200,3.9500,3.9100,383446956
002717.SZ,岭南股份,2025-02-21 00:00:00,3.8800,4.0400,3.9300,3.8400,250935690
002717.SZ,岭南股份,2025-02-24 00:00:00,4.0000,4.1000,3.9600,3.9300,233526205
002717.SZ,岭南股份,2025-02-25 00:00:00,3.7100,3.8900,3.7900,3.7100,244178009
